steps,Achem0,Achem1,Achem2,Achem3,Achem4,Achem5,Achem6,Achem7,AreactRate,Bchem0,Bchem1,Bchem2,Bchem3,Bchem4,Bchem5,Bchem6,Bchem7,BreactRate,Cchem0,Cchem1,Cchem2,Cchem3,Cchem4,Cchem5,Cchem6,Cchem7,CreactRate,Dchem0,Dchem1,Dchem2,Dchem3,Dchem4,Dchem5,Dchem6,Dchem7,DreactRate,B1thres,B1chance,C1thres,C1chance,C2thres,C2chance,C3thres,C3chance,D1thres,D1chance,D2thres,D2chance,zeros
1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
4,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
6,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
7,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
8,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,2,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
9,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,2,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
10,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,3,0,3,0,0,0,0,0,31,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
11,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,3,0,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0,25,100,62,100,62,100,75,100,75,100,75,100,75,0
12,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,26,4,0,5,0,0,0,0,0,34,1,1,0,0,0,0,0,0,27,100,62,100,62,100,75,100,75,100,75,100,75,0
13,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,26,4,0,6,0,0,0,0,0,35,2,2,0,0,0,0,0,0,29,100,62,100,62,100,75,100,75,100,75,100,75,0
14,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,27,5,0,6,0,0,0,0,0,36,2,2,0,0,0,0,0,0,29,100,62,100,62,100,75,100,75,100,75,100,75,0
15,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,28,5,0,7,0,0,0,0,0,37,2,2,0,0,0,0,0,0,31,100,62,100,62,100,75,100,75,100,75,100,75,0
16,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,28,6,1,8,0,0,0,0,0,40,3,3,0,0,0,0,0,0,31,100,62,100,62,100,75,100,75,100,75,100,75,0
17,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,29,7,2,9,0,0,0,0,0,43,4,4,0,0,0,0,0,0,33,100,62,100,62,100,75,100,75,100,75,100,75,0
18,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,29,6,1,8,0,0,0,0,0,43,3,3,0,0,0,0,0,0,33,100,62,100,62,100,75,100,75,100,75,100,75,0
19,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,30,7,2,9,0,0,0,0,0,43,4,4,0,0,0,0,0,0,33,100,62,100,62,100,75,100,75,100,75,100,75,0
20,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,31,7,2,9,0,0,0,0,0,46,5,5,0,0,0,0,0,0,35,100,62,100,62,100,75,100,75,100,75,100,75,0
21,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,31,7,3,10,0,0,0,0,0,45,5,5,0,0,0,0,0,0,37,100,62,100,62,100,75,100,75,100,75,100,75,0
22,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,32,7,2,9,0,0,0,0,0,46,5,5,0,0,0,0,0,0,35,100,62,100,62,100,75,100,75,100,75,100,75,0
23,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,33,7,3,10,0,0,0,0,0,45,6,6,0,0,0,0,0,0,37,100,62,100,62,100,75,100,75,100,75,100,75,0
24,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,33,8,4,11,0,0,0,0,0,48,6,6,0,0,0,0,0,0,39,100,62,100,62,100,75,100,75,100,75,100,75,0
25,0,0,0,0,0,0,1,0,26,9,0,0,0,0,0,0,0,34,8,4,11,0,0,0,0,0,51,7,7,0,0,0,0,0,0,39,100,62,100,62,100,75,100,75,100,75,100,75,0
26,0,0,0,0,0,0,1,0,26,10,0,0,0,0,0,0,0,35,8,4,12,0,0,0,0,0,49,6,6,0,0,0,0,0,0,39,100,62,100,62,100,75,100,75,100,75,100,75,0
27,0,0,0,0,0,0,2,0,27,10,0,0,0,0,0,0,0,35,8,4,11,0,0,0,0,0,51,7,7,0,0,0,0,0,0,39,100,62,100,62,100,75,100,75,100,75,100,75,0
28,0,0,0,0,0,0,2,0,27,11,0,0,0,0,0,0,0,36,9,5,12,0,0,0,0,0,51,8,8,0,0,0,0,0,0,41,100,62,100,62,100,75,100,75,100,75,100,75,0
29,0,0,0,0,0,0,3,0,28,11,0,0,0,0,0,0,0,36,8,5,12,0,0,0,0,0,53,8,8,0,0,0,0,0,0,43,100,62,100,62,100,75,100,75,100,75,100,75,0
30,0,0,0,0,0,0,3,0,28,12,0,0,0,0,0,0,0,37,8,5,12,0,0,0,0,0,53,9,8,0,0,0,0,0,0,42,100,62,100,62,100,75,100,75,100,75,100,75,0
31,0,0,0,0,0,0,3,0,28,13,0,0,0,0,0,0,1,39,9,5,12,0,0,0,0,0,51,9,8,0,0,0,0,0,0,44,100,62,100,62,100,75,100,75,100,75,100,75,0
32,0,0,0,0,0,0,4,0,29,13,0,0,0,0,0,0,1,39,8,5,12,0,0,0,0,0,53,9,9,0,0,0,0,0,0,43,100,62,100,62,100,75,100,75,100,75,100,75,0
33,0,0,0,0,0,0,4,0,29,13,0,0,0,0,0,0,0,40,9,6,13,0,0,0,0,0,53,10,10,0,0,0,0,0,0,45,100,62,100,62,100,75,100,75,100,75,100,75,0
34,0,0,0,0,0,0,5,0,30,13,0,0,0,0,0,0,1,39,9,5,13,0,0,0,0,0,55,10,10,0,0,0,0,0,0,47,100,62,100,62,100,75,100,75,100,75,100,75,0
35,0,0,0,0,0,0,5,0,30,14,0,0,0,0,0,0,1,40,9,6,13,0,0,0,0,0,53,11,10,0,0,0,0,0,0,46,100,62,100,62,100,75,100,75,100,75,100,75,0
36,0,0,0,0,0,0,6,0,31,14,0,0,0,0,0,0,0,41,9,6,13,0,0,0,0,0,56,10,10,0,0,0,0,0,0,47,100,62,100,62,100,75,100,75,100,75,100,75,0
37,0,0,0,0,0,0,7,0,32,14,0,0,0,0,0,0,1,40,10,6,14,0,0,0,0,0,55,11,11,0,0,0,0,0,0,47,100,62,100,62,100,75,100,75,100,75,100,75,0
38,0,0,0,0,0,1,7,0,33,14,0,0,0,0,0,0,0,41,9,6,14,0,0,0,0,0,57,11,11,0,0,0,0,0,0,49,100,62,100,62,100,75,100,75,100,75,100,75,0
39,0,0,0,0,0,1,8,0,34,15,0,0,0,0,0,0,0,40,10,7,15,0,0,0,0,0,57,12,11,0,0,0,0,0,0,48,100,62,100,62,100,75,100,75,100,75,100,75,0
40,0,0,0,0,0,0,7,0,34,15,0,0,0,0,0,0,1,41,10,7,14,0,0,0,0,0,59,12,11,0,0,0,0,0,0,50,100,62,100,62,100,75,100,75,100,75,100,75,0
41,0,0,0,0,0,1,8,0,34,16,0,0,0,0,0,0,1,42,9,6,14,0,0,0,0,0,57,12,12,0,0,0,0,0,0,49,100,62,100,62,100,75,100,75,100,75,100,75,0
42,0,0,0,0,0,1,8,0,34,16,0,0,0,0,0,0,1,44,10,7,15,0,0,0,0,0,57,12,11,0,0,0,0,0,0,50,100,62,100,62,100,75,100,75,100,75,100,75,0
43,0,0,0,0,0,1,8,0,36,16,0,0,0,0,0,0,1,42,9,7,14,0,0,0,0,0,58,13,12,0,0,0,0,0,0,50,100,62,100,62,100,75,100,75,100,75,100,75,0
44,0,0,0,0,0,1,8,0,34,16,0,0,0,0,0,0,0,43,10,8,15,0,0,0,0,0,58,13,12,0,0,0,0,0,0,52,100,62,100,62,100,75,100,75,100,75,100,75,0
45,0,0,0,0,0,1,9,0,35,16,0,0,0,0,0,0,1,42,10,7,15,0,0,0,0,0,60,13,13,0,0,0,0,0,0,51,100,62,100,62,100,75,100,75,100,75,100,75,0
46,0,0,0,0,0,0,8,0,35,16,0,0,0,0,0,0,0,43,10,8,16,0,0,0,0,0,59,13,12,0,0,0,0,0,0,52,100,62,100,62,100,75,100,75,100,75,100,75,0
47,0,0,0,0,0,1,9,0,35,16,0,0,0,0,0,0,1,42,10,8,15,0,0,0,0,0,61,14,13,0,0,0,0,0,0,52,100,62,100,62,100,75,100,75,100,75,100,75,0
48,0,0,0,0,0,1,10,0,36,17,0,0,0,0,0,0,1,43,10,7,15,0,0,0,0,0,60,14,13,0,0,0,0,0,0,54,100,62,100,62,100,75,100,75,100,75,100,75,0
49,0,0,0,0,0,1,9,0,37,16,0,0,0,0,0,0,0,43,10,8,16,0,0,0,0,0,59,15,14,0,0,0,0,0,0,54,100,62,100,62,100,75,100,75,100,75,100,75,0
50,0,0,0,0,0,1,10,0,36,17,0,0,0,0,0,0,1,43,10,8,15,0,0,0,0,0,61,15,13,0,0,0,0,0,0,55,100,62,100,62,100,75,100,75,100,75,100,75,0
